scene_number,location,description,cast_id,costume_notes,hair_makeup,prosthetics,key_props,props,set_dressing,extras,picture_vechiles,production,special_professionals,sfx,vfx,special_equipments,notes,timeofday,int_ext
11,ARJUN HOUSE,"INT. ARJUN HOUSE - MORNING
11
Both Kittu and Arjun walk around the house getting ready, 
they work with a synchrony as if they have gotten used to the 
things they do every morning.
- They both brush their teeth at the same time in the mirror.
11A
- Kittu brings his cricket bat and hands it to Arjun who puts 
11B
it inside Kittus kit bag. 
- Arjun boils milk, Kittu pulls a chair stands on it to get 
11C
two glasses and places them on the kitchen platform.
- Arjun puts coffee in one glass and ‘complan’ in another.
- Both Kittu and Arjun sit on the porch drinking from their 
11D
glasses, as water drips from the ledge above. 
- Arjun brings out his bike (RX100) and wipes the wet seat 
11E
with a cloth. He then hops onto it and starts it. Kittu in 
his cricket whites and a heavy cricket kit hops on too. 
- Wide shot of entire colony all wet with previous night’s 
11F
rain. Further camera shot reveals, more houses constructed in 
similar pattern, like some Government quarters.
","['kittu', 'arjun']","['kittu', 'arjun']","['kittu', 'arjun']",,,,,,,,,,,,,MORNING,INT
12,CHANDIGARH / ROADS,"EXT. CHANDIGARH / ROADS - MORNING
12
Both the Father & the son travel on empty roads,
6.
FOR AD TEAM
7.
Close shot of Kittu with the wind on his face, with a 
hesitant look towards Arjun , tries to start a conversation,
KITTU
Papa
ARJUN
Hmmm 
KITTU
Monday ko yaad hai na kya hai?
ARJUN
(thinking)
Monday ko Monday hai kittu! Aur kya 
hai? 
KITTU
(disappointed)
Papa day nahin, date kya hai?
ARJUN
Gyaara November
Kittu waits as Arjun thinks for a beat.
ARJUN (CONT'D)
(smiling)
Phir apne Kittu ka bud-day bhi toh 
hai uss din! 
Kittu smiles. 
KITTU
Papa
ARJUN
Hmm...
KITTU
(complaining)
Aapko pata hai, coach Sir ne 
Mankeerat ko school team ka captain 
bana diya hai. Jabki mere run uss 
se zyada the.  
ARJUN
Achha?
KITTU
Haanji papa. Uske paas Indian 
jersey hai na, saari team ka 
support hai uspe. Har match mein 
pehen ke tashan jhaadta hai
7.
FOR AD TEAM
8.
Arjun doesn’t react…
KITTU (CONT'D)
Papa, aap sun rahe ho na?
ARJUN
hmmm
KITTU
Mere pe wo jersey hoti na, toh 
guarantee maine hi captain banna 
tha
Travel shots continue. 
KITTU (CONT'D)
Papa
*ESTABLISHING SHOTS OF THE CRICKET STADIUM. 
","['kittu', 'arjun']","['kittu', 'arjun']","['kittu', 'arjun']",,,,,,,,,,,,,MORNING,EXT
13,CRICKET GROUND (SECTOR 16) / PRACTICE NETS,"EXT. CRICKET GROUND (SECTOR 16) / PRACTICE NETS - MORNING
13
Arjun and Kittu walking inside the ground; a dejected Kittu 
is walking towards the practice nets; he is still looking at 
Arjun for some response, Arjun casually calls out Kittu from 
behind.
ARJUN
Kittu
Arjun bends down & starts knotting Kittu’s shoe lace
ARJUN (CONT'D)
Kisne kya pehen rakha hai koi faraq 
nahin padta... ye sab chhor tu bas 
apne game pe dhyaan de. Team ka 
best player captain nahin banta, 
captain wo hota hai jo team ke har 
player se best nikaal ke lead kare. 
Ye coach sir ko tere se behtar pata 
hona hai.  
Arjun gets up
ARJUN (CONT'D)
Samjha?
A dejected Kittu bends his head, nodding. 
ARJUN (CONT'D)
Chal, practice ka time ho raha hai!
8.
FOR AD TEAM
9.
Dejected Kittu turns back with his head down, walks slowly 
dragging the bag. Arjun notices his son being upset and 
doesn’t feel good,
ARJUN (CONT'D)
Chheti! Practice ke baad school bhi 
hai. Phir raste mein ruk ke kisi ka 
bud-day gift bhi lena hai na sports 
shop se.
Suddenly a big smile comes on Kittu’s face, he turns back, 
drops the bag comes running to Arjun. Arjun bends down to 
match Kittu’s height.
KITTU
(excited)
Sacchi jersey khareed doge papa?
Arjun smiles back, and keeps his hand on Kittu’s head and 
shakes it with a smile, Kittu with all happiness turns back 
and walk towards his bag, midway he turns back and says,
KITTU (CONT'D)
Sar pe haath rakh ke bola hai 
aapne...promise ho gaya, dekh lo
Kittu shows his crossed fingers and says
KITTU (CONT'D)
Maine porey mod liye hain, ab aap 
promise tod nahin sakte! chance hi 
nahin hai! 
Kittu runs enthusiastically, Arjun looks at Kittu with a 
smile on his face.
","['kittu', 'arjun']","['kittu', 'arjun']","['kittu', 'arjun']",,,,,,,,,,,,,MORNING,EXT
14A + B,PRACTICE GROUND (SECTOR 16) / STANDS,"EXT. PRACTICE GROUND (SECTOR 16) / STANDS - MORNING
14A + B
We open with a wide shot of a cricket match; We see Arjun 
walking on the side of the ropes, approaching the stands. 
He sits at the stands near the boundary rope, Suggestion shot 
of Arjun looking at the batsman,
Batsman bends to his right and glances at the ball, ball 
racing to the boundary, suddenly a girl few feet away on the 
upper steps from Arjun starts shouting,
JASLEEN
Go Viru Go! Come on! Chak de 
phatte. Yahi hai mauka, maar de 
chauka!   
9.
FOR AD TEAM
10.
Arjun looks to his right to see who is shouting, 22 year old 
Jasleen dressed in long skirt, cheering for the batsman with 
full enthusiasm, Arjun looks at Jasleen and smiles,
Jasleen smiles back, and says,
JASLEEN (CONT'D)
(proud & joyous)
kya khel raha hai na? Boyfriend hai 
mera! 
Arjun just smiles at her, from long shot batsman again leans 
to his right and plays a straight shot to the boundary, 
immediately Jasleen again takes some papers around throws 
them into air, and starts dancing and shouting loud/Jasleen 
takes a picture from her camera. 
JASLEEN (CONT'D)
Come on Viru! Chak de chhakka! Pel 
de ball ground de baahar!  
Arjun smiles looking at Jasleen, and suddenly an old guy, 
Viru’s coach from the dug-out shouts at her
VIRU’S COACH
(angry)
Oh madam, Kya att chuk rakhi hai? 
Maine aapko kar dena hai ground ke 
baahar... Ais tarah chillaoge toh 
kal se ghusne nahin dena.
Smile on Jasleen’s face slowly fades out, with a sad face she 
walks down. 
JASLEEN
(murmuring)
Andar ghusne nahin dega, tu baahar 
te mil mainu! 
Jasleen comes and sits next to Arjun. 
JASLEEN (CONT'D)
(murmuring)
Coach ki chonch badi chalti hai! 
Arjun with a smile says to Jasleen. 
ARJUN
(smiling)
Aapke boyfriend ka balance barabar 
nahi hai. Right ko (thoda) zyada 
tilt kar raha hai. Leg spin padi 
toh out ho sakta hai.
10.
FOR AD TEAM
11.
Jasleen gives a sarcastic smile, And on long shot, in over 
break, team comes together for a bowling change for a minute 
and they spread out, giving ball to a leg spinner, first ball 
bowled and batsman takes a single to give strike to Virender,
Jasleen little curious and asks, Arjun,
JASLEEN
(curious)
Ye leg spinner hai? 
Arjun nods his head,
Long shot, Virender shifts his balance again to the right, 
tries to glance the ball, and it hits the stumps,
Suggestion shot of Jasleen, disappointed holding her head, 
cheers of players heard from a distance.
Low shot of Jasleen close holding her head down, and turns 
towards Arjun.
JASLEEN (CONT'D)
Kaali jubaan hai ji aapki. Out 
karwa ke hi maane aap.
Arjun smiles loud, Jasleen looking at Viru walking off the 
field,
JASLEEN (CONT'D)
Gayi pandeych movie! Poora din munh 
latkaa ke ghoomna hai isne.
Virender walks off the field, towards the dug out. He throws 
his bat away. A player notices him walking away. Takes out 
pads
PLAYER
Oye Viru, kahan ja raha hai yaar?
Viru ignores him and comes towards the stands, he starts 
walking fast near the grill where Jasleen tries to catch up 
with him and says..  
JASLEEN
Balance bhi toh koi cheej hoti hai. 
Right ko itna tilt karega toh leg 
spin pe out hona hi hai.
Viru, looks at Jasleen surprised 
VIRU
(curious)
Oh kaun patti padha raha hai tujhe?
11.
FOR AD TEAM
12.
Jasleen taken aback,
JASLEEN
Mujhe pehle se pata hai.
Viru turns around to see Arjun sitting in the stands. 
VIRU
(irritated)
Chalein!
They walk away. 
","['jasleen', 'arjun', 'viru']","['jasleen', 'arjun', 'viru']","['jasleen', 'arjun', 'viru']",,,,,,,,,,,,,MORNING,EXT
15,PRACTICE GROUND (SECTOR 16) / TEA STALL,"EXT. PRACTICE GROUND (SECTOR 16) / TEA STALL - MORNING
15
Shot opens with a tight close of Arjun lighting a cigarette 
standing next to a pan shop, as he walks from that place, 
Bali is coming with two tea cups, both walk towards a wall, 
and they exchange tea cup and cigarette,
BALI
Kaisi hai Vidhya? 
ARJUN
Vadhiya sir
BALI
Wo kudi te hai hi vadhiya... teri 
toh love story kamaal thi
Just then a truck arrives with a load of standees and 
posters, a contractor is driving the truck. He talks from 
inside the truck. 
CONTRACTOR
Sirji Satsriakal! 
BALI
hmm hmm... Saara samaan le liya 
Bindraji?
CONTRACTOR
Koi chakkar hi nai sir... Sab le 
liya hai..
BALI
Stadium ke Watchman ke paas padi 
hain chaabiyan... Wahan ke store 
room mein rakhwa dena pher...
CONTRACTOR
Ji sirji vadhiya.
And the contractor drives off. Arjun looks at Bali and he 
answers,
13.
FOR AD TEAM
(MORE)
14.
BALI
New Zealand-India ka tour hai na... 
Toh one day series ke pehle New 
zealand versus Punjab club ka ek 
charity match hona hai. Unka ek 
zabardast left arm pace bowler 
haega, Patrick.  
 Bali sir remembers something
BALI (CONT'D)
Wo Railways wala match yaad hai 
tujhe? Tha na unka Sameer Khatri... 
chhe footiya... left arm fast 
bowler, 5 chakke lagaaye the tuney 
uske over mein.
ARJUN
Saara pind ghoom ke, pher wahin 
kyun aa jaate ho sir?
BALI
Bhai saara pind ghoom ke banda ghar 
hi toh laut-ta hai
ARJUN
Mujhe wo ghar chhore 10 saal ho 
gaye sir. 
BALI
Chhora nahi... tu bhaga tha wahan 
se
Arjun looks little disappointed
BALI (CONT'D)
Meri gal sunn... assistant coach di 
jagah khaali hai club mein... tere 
tabke da aur matlab da kaam hai... 
salary kam sahi... khush yahan 
zyada rehna hai tuney.
ARJUN
Sir wo ground chhoot chuka. Aur 
mujhe cricket chhor ke bhi 10 saal 
ho gaye. Mud ke nahi aana maine.
BALI
Tere baare tujhse behtar main 
jaanta hoon. Wo jo boundary ke 
andar ground pe hota tha wo Arjun 
hi vakhra si oye. Ye seena chauda 
karke, 22 yard ki pitch pe teen 
foot ka bat haath mein liye... 
(MORE)
14.
FOR AD TEAM
BALI (CONT'D)
15.
Aakhri baar khush tujhe tabhi dekha 
si.
Arjun lost in thoughts, and...
FLASHBACK : 1986
","['vidhya', 'arjun', 'bali']","['vidhya', 'arjun', 'bali']","['vidhya', 'arjun', 'bali']",,,,,,,,,,,,,MORNING,EXT
16,CRICKET STADIUM / LOBBY,"INT. CRICKET STADIUM / LOBBY - EVENING
16
Visuals are treated with blue tint to indicate flash-cut, Big 
dark lobby of cricket stadium where all the souvenirs and 
photo frames are kept. 26 year old Arjun, looking lost, 
leaning to the wall, near the noticeboard.
Group of 6 standing little away from Arjun, everyone looking 
anxiously at the door of a long pathway. Door opening sound, 
visually happy person in early 50’s with a blazer comes out 
of it and signals thumps up to the group, and group of six 
erupts in joy, shouting, and lifts, one person in them as a 
celebration.
Arjun with a disappointed sigh looks away, and in the overlap 
of celebrating crowd, disappointed BALI walks out of the 
door, Bali comes closer
BALI
Yahan toh sab sifarshon te paisa da 
khel hai... raaton raat sab badal 
gaya. Tere selection ki khabar ko 
akhbaar ki printing mistake bata 
rahe hain kameene. Koi imaan dharam 
nai hai maiaveyan da.   
After a pause, Arjun bursts out with frustration and punches 
his hand into a noticeboard and it breaks with a big bang,
BALI (CONT'D)
(shouts)
Oye!!! Kamla ho gaya ae? 
BALI holds bleeding hand of Arjun,
","['arjun', 'bali']","['arjun', 'bali']","['arjun', 'bali']",,,,,,,,,,,,,EVENING,INT
17,CRICKET STADIUM / HEALTH ROOM,"INT. CRICKET STADIUM / HEALTH ROOM - EVENING
17
Close shot of forceps removing glass from a swollen hand, mid 
shot of a doctor removing Glass and cleaning bruise with 
antiseptic, and dressing, Arjun sits on the bed while BALI 
sir stands couple of steps away.
Doctor leaves from there
BALI (CONT'D)
15.
FOR AD TEAM
16.
BALI
Last time nahi hua tha te iss vaari 
vi nahi hua... toh haath tod lega? 
Ki hoya tennu?
Bali Sir walks closer to Arjun in a consoling manner, sits 
down in front of him, holds his hand,
BALI (CONT'D)
Sun puttar... aasaan nahi hai 
Indian team mein apni jagah banana. 
Aisi kai mushkilein aani hain abhi 
toh.
BALI puts a hand on Arjun’s shoulder.
ARJUN
26 ka ho gaya hoon sir. Mera 
parivaar hai... sarkaari naukri da 
offer hai. Mera itna hi tha sir. Ek 
saal aur waste nahi karna maine. 
Phir agle saal bhi wahi sifarshein 
chalni hain. Phir kya?
BALI
Phir nahi hua toh agle saal... nahi 
toh uske agle saal.(beat) Chorna 
hai ki nai chhorna tu decide nahi 
kar sakta.   
Arjun stands up, keeps his head down.
BALI (CONT'D)
Terah saal ka tha tu... jab tujhe 
gully cricket se spot karke, maine 
coach karna shuru kiya... apni 
naukri parivaar sab ek taraf karke 
tere saath lag gaya tha, din raat 
ek kar diye hum dono ne, tujhe 
Indian team mein dekhne ke liye... 
aur tu itni aasaani se bol gaya... 
ki tera itna hi tha?
ARJUN
Chhor do sir.
Arjun walks out closing the door.  
BALI
Arjun, ……Arjun……. Arjun
As the door closes, entire frame burns out. 
PRESENT - 1996
16.
FOR AD TEAM
17.
","['arjun', 'bali']","['arjun', 'bali']","['arjun', 'bali']",,,,,,,,,,,,,EVENING,INT
18A,PRACTICE STADIUM (SECTOR 16) /HALL OF FAME,"INT. PRACTICE STADIUM (SECTOR 16) /HALL OF FAME - MORNING
18A
Big spacious lobby, entire stadium is visible from one side 
on the lobby, old to new photographs on the wall, Kittu looks 
keenly at old photographs, he stops at a picture where he 
sees young Arjun, joyful, lifting a cup. 
BALI (V.O.)
Ye waqt mud ke nahi aana (puttar)! 
Kittu is looking at the photograph, Arjun’s reflection falls 
on the glass as he comes from behind. 
ARJUN
Roz kya dekhta rehta hai inko?
Silhouette shot of both walking,
KITTU
Inn saari photos mein aap smile kar 
rahe ho na papa.
After a few steps, 
","['kittu', 'arjun', 'bali']","['kittu', 'arjun', 'bali']","['kittu', 'arjun', 'bali']",,,,,,,,,,,,,MORNING,INT
18B,PRACTICE STADIUM (SECTOR 16) / STAIRS,"EXT. PRACTICE STADIUM (SECTOR 16) / STAIRS - DAY
18B
Arjun and Kittu come out of the Hall of Fame. Kittu runs down 
the steps. 
KITTU
Papa abhi sports shop pe rukenge 
na?
ARJUN
mmm…..
Kittu jumping with joy,
KITTU
yayayay……
","['kittu', 'arjun']","['kittu', 'arjun']","['kittu', 'arjun']",,,,,,,,,,,,,DAY,EXT
19,SPORTS SHOP,"I/E. SPORTS SHOP - MORNING
19
Arjun and Kittu arrive at a sports shop on a bike. Kittu gets 
off and goes to look at the Sachin cutout placed in front of 
the shop. Arjun parks his bike and comes towards Kittu. Both 
Arjun and Kittu stand in front of it for a moment, then, 
Arjun bends down to Kittu and says,
17.
FOR AD TEAM
(MORE)
18.
ARJUN
(whisper)
Andar ja ke bats dekh le tu... Main 
tera gift le leta hoon.
Immediately, Kittu goes running inside the shop, to the bats 
section, Arjun enters too. 
A big sports shop just opened, few workers placing standees 
outside the shop and some dusting the sports kits, 50 yr old, 
fair, fat, marwari, Tandon doing aarthi to Lakshmi, while 
shabad keertan plays in the shop. 
TANDON
Hor Arjun... Kittu ki practice 
kaisi chal rahi hai? Seedha ground 
se hi aa rahe ho pyo-puttar!
Arjun nods as a yes, and leans on the glass counter, to come 
closer to Tandon
ARJUN
Uncle ji... wo Indian jersey
TANDON
Haanji haan puttarji... rakhi 
hai... original Indian Jersey, 
lamited edition wali hai. Haathon 
haath bik rahi hain.
ARJUN
Kitne ki?
TANDON 
Paanch sau
Arjun face turns pale for a second, and in the same posture,
ARJUN
Parson Kittu ka bud-day hai ji... 
abhi thoda haath tight hai... aap 
de dete toh, maheene ke end tak 
chuka deta aapko main. Possible 
hoga?
Tandon stops praying and turns to look at Arjun, he casually 
says, 
TANDON 
Arjun beta ji aisa hai, dus hajaar 
kiraaya bharta hoon iss dukaan 
ka... paanch hajaar installment 
(stallment) alag se... 
(MORE)
18.
FOR AD TEAM
TANDON  (CONT'D)
19.
sabki salariyan te maintanence mila-
mulu ke bees hajaar ho hi jaata 
hai. Meri jagah khud ko rakh ke 
dekh... hoga possible?
Arjun is taken aback, he doesn’t answer anything,
TANDON (CONT'D)
Bada vadiya player tha yaar tu... 
ijjat karta hoon teri main... ijjat 
se mana hi kar sakta hoon puttar. 
Arjun, embarrassed, comes back from the counter, and at the 
same time, Kittu comes running to Arjun.
KITTU
Papa... mera gift le liya?
Tandon takes out a Sachin poster from the lower rack, starts 
folding it. He leans over the counter to look at Kittu. 
TANDON 
Kittu beta ji... stock khatam hai 
abhi toh... parson aa jana hai. Le 
aayenge papa. Ye raha tera bud-day 
gift mere vallon. Jiyonda reh  
Kittu becomes wide-eyed looking at the Sachin poster and 
takes it with a big smile. 
KITTU
Thank you uncle. 
ARJUN
Thank you ji
Kittu and Arjun exit. Visual from inside the shop through the 
glass, Kittu joyfully getting onto the bike. 
- Visual of Auto coming outside the house. 
","['kittu', 'arjun']","['kittu', 'arjun']","['kittu', 'arjun']",,,,,,,,,,,,,MORNING,I/E
20A,ARJUN HOUSE,"INT. ARJUN HOUSE - MORNING
20A
Full hungama in the house, everyone running around, Kittu is 
watching spiderman on the TV and jumping on the sofa, Arjun 
is packing Kittu’s bag, Vidhya brings Kittu’s ironed clothes 
from the bedroom. 
VIDHYA
Kittu time ho gaya. Get ready na 
bujji. Chalo jaldi karo. 
Arjun helps Kittu to get ready. 
TANDON  (CONT'D)
19.
FOR AD TEAM
20.
As Kittu is about to leave, Vidhya picks him and brings him 
to the temple.
VIDHYA (CONT'D)
Daily batana padega pray karke 
jaana. (Telugu Prayer - kaushalya 
supraja rama, poorva sandhya 
pravarthathe, uthishtha narasardula 
kartavyam daivamah nikam) 
She lets go of him and he runs to Arjun and both of them rush 
out. 
","['vidhya', 'kittu', 'arjun']","['vidhya', 'kittu', 'arjun']","['vidhya', 'kittu', 'arjun']",,,,,,,,,,,,,MORNING,INT
20B,ARJUN HOUSE,"EXT. ARJUN HOUSE - MORNING
20B
Exterior shot of Auto, Auto horn sound is heard.
Auto leaves with Arjun waving bye to Kittu and immediately 
another bus of “HOTEL MOUNTVIEW CHANDIGARH” pulls in to pick 
Vidhya.
","['vidhya', 'kittu', 'arjun']","['vidhya', 'kittu', 'arjun']","['vidhya', 'kittu', 'arjun']",,,,,,,,,,,,,MORNING,EXT
